,irish_rainfall_year,irish_rainfall_month,median_monthly_rainfall,irish_rainfall_date
271,1733,8,116.3,1733-08-01
272,1733,9,111.5,1733-09-01
273,1733,10,94.5,1733-10-01
274,1733,11,130.9,1733-11-01
275,1733,12,193.9,1733-12-01
276,1734,1,94.3,1734-01-01
277,1734,2,71.9,1734-02-01
278,1734,3,102.6,1734-03-01
279,1734,4,44.8,1734-04-01
280,1734,5,117.9,1734-05-01
281,1734,6,95.5,1734-06-01
282,1734,7,127.4,1734-07-01
283,1734,8,81.4,1734-08-01
284,1734,9,110.8,1734-09-01
285,1734,10,93.2,1734-10-01
286,1734,11,82.5,1734-11-01
287,1734,12,156.8,1734-12-01
288,1735,1,122.7,1735-01-01
289,1735,2,96.0,1735-02-01
290,1735,3,102.7,1735-03-01
291,1735,4,93.4,1735-04-01
292,1735,5,50.7,1735-05-01
293,1735,6,96.0,1735-06-01
294,1735,7,128.0,1735-07-01
295,1735,8,116.0,1735-08-01
296,1735,9,110.7,1735-09-01
297,1735,10,130.7,1735-10-01
298,1735,11,166.7,1735-11-01
299,1735,12,120.0,1735-12-01
300,1736,1,149.8,1736-01-01
301,1736,2,96.4,1736-02-01
302,1736,3,68.7,1736-03-01
303,1736,4,93.3,1736-04-01
304,1736,5,99.5,1736-05-01
305,1736,6,20.5,1736-06-01
306,1736,7,49.2,1736-07-01
307,1736,8,81.0,1736-08-01
308,1736,9,71.8,1736-09-01
309,1736,10,94.4,1736-10-01
310,1736,11,81.0,1736-11-01
311,1736,12,120.0,1736-12-01
312,1737,1,149.4,1737-01-01
313,1737,2,127.3,1737-02-01
314,1737,3,93.0,1737-03-01
315,1737,4,94.1,1737-04-01
316,1737,5,49.8,1737-05-01
317,1737,6,60.9,1737-06-01
318,1737,7,49.8,1737-07-01
319,1737,8,116.2,1737-08-01
320,1737,9,71.9,1737-09-01
321,1737,10,94.1,1737-10-01
322,1737,11,80.8,1737-11-01
323,1737,12,119.5,1737-12-01
324,1738,1,149.7,1738-01-01
325,1738,2,72.9,1738-02-01
326,1738,3,69.1,1738-03-01
327,1738,4,94.7,1738-04-01
328,1738,5,117.7,1738-05-01
329,1738,6,96.0,1738-06-01
330,1738,7,48.6,1738-07-01
331,1738,8,140.8,1738-08-01
332,1738,9,111.3,1738-09-01
333,1738,10,152.3,1738-10-01
334,1738,11,107.5,1738-11-01
335,1738,12,119.0,1738-12-01
336,1739,1,122.9,1739-01-01
337,1739,2,96.1,1739-02-01
338,1739,3,48.1,1739-03-01
339,1739,4,61.5,1739-04-01
340,1739,5,69.3,1739-05-01
341,1739,6,96.1,1739-06-01
342,1739,7,127.4,1739-07-01
343,1739,8,116.2,1739-08-01
344,1739,9,145.3,1739-09-01
345,1739,10,70.4,1739-10-01
346,1739,11,108.4,1739-11-01
347,1739,12,55.9,1739-12-01
348,1740,1,35.0,1740-01-01
349,1740,2,52.8,1740-02-01
350,1740,3,48.2,1740-03-01
351,1740,4,26.4,1740-04-01
352,1740,5,69.9,1740-05-01
353,1740,6,36.5,1740-06-01
354,1740,7,68.4,1740-07-01
355,1740,8,100.3,1740-08-01
356,1740,9,111.1,1740-09-01
357,1740,10,70.7,1740-10-01
358,1740,11,80.8,1740-11-01
359,1740,12,76.9,1740-12-01
360,1741,1,109.8,1741-01-01
361,1741,2,52.9,1741-02-01
362,1741,3,28.9,1741-03-01
363,1741,4,26.4,1741-04-01
364,1741,5,22.3,1741-05-01
365,1741,6,61.1,1741-06-01
366,1741,7,68.5,1741-07-01
367,1741,8,66.1,1741-08-01
368,1741,9,91.7,1741-09-01
369,1741,10,113.1,1741-10-01
370,1741,11,108.2,1741-11-01
371,1741,12,76.8,1741-12-01
372,1742,1,123.3,1742-01-01
373,1742,2,72.5,1742-02-01
374,1742,3,29.2,1742-03-01
375,1742,4,26.4,1742-04-01
376,1742,5,49.9,1742-05-01
377,1742,6,61.2,1742-06-01
378,1742,7,81.9,1742-07-01
379,1742,8,65.9,1742-08-01
380,1742,9,71.5,1742-09-01
381,1742,10,151.6,1742-10-01
382,1742,11,108.3,1742-11-01
383,1742,12,99.8,1742-12-01
384,1743,1,149.9,1743-01-01
385,1743,2,96.2,1743-02-01
386,1743,3,68.9,1743-03-01
387,1743,4,94.2,1743-04-01
388,1743,5,69.9,1743-05-01
389,1743,6,36.5,1743-06-01
390,1743,7,99.3,1743-07-01
391,1743,8,49.6,1743-08-01
392,1743,9,71.9,1743-09-01
393,1743,10,113.4,1743-10-01
394,1743,11,107.4,1743-11-01
395,1743,12,55.7,1743-12-01
396,1744,1,73.8,1744-01-01
397,1744,2,96.5,1744-02-01
398,1744,3,102.1,1744-03-01
399,1744,4,62.4,1744-04-01
400,1744,5,49.9,1744-05-01
401,1744,6,61.3,1744-06-01
402,1744,7,82.8,1744-07-01
403,1744,8,140.7,1744-08-01
404,1744,9,145.3,1744-09-01
405,1744,10,152.1,1744-10-01
406,1744,11,131.7,1744-11-01
407,1744,12,36.3,1744-12-01
408,1745,1,122.7,1745-01-01
409,1745,2,52.1,1745-02-01
410,1745,3,47.8,1745-03-01
411,1745,4,61.9,1745-04-01
412,1745,5,139.0,1745-05-01
413,1745,6,95.6,1745-06-01
414,1745,7,68.4,1745-07-01
415,1745,8,141.2,1745-08-01
416,1745,9,25.0,1745-09-01
417,1745,10,152.1,1745-10-01
418,1745,11,81.5,1745-11-01
419,1745,12,98.9,1745-12-01
420,1746,1,110.1,1746-01-01
421,1746,2,38.0,1746-02-01
422,1746,3,93.1,1746-03-01
423,1746,4,45.0,1746-04-01
424,1746,5,22.0,1746-05-01
425,1746,6,96.1,1746-06-01
426,1746,7,156.1,1746-07-01
427,1746,8,50.0,1746-08-01
428,1746,9,92.1,1746-09-01
429,1746,10,70.1,1746-10-01
430,1746,11,108.1,1746-11-01
431,1746,12,120.1,1746-12-01
432,1747,1,149.5,1747-01-01
433,1747,2,72.7,1747-02-01
434,1747,3,48.2,1747-03-01
435,1747,4,44.9,1747-04-01
436,1747,5,69.5,1747-05-01
437,1747,6,61.3,1747-06-01
438,1747,7,49.0,1747-07-01
439,1747,8,49.8,1747-08-01
440,1747,9,111.1,1747-09-01
441,1747,10,70.3,1747-10-01
442,1747,11,54.7,1747-11-01
443,1747,12,36.0,1747-12-01
444,1748,1,74.0,1748-01-01
445,1748,2,52.6,1748-02-01
446,1748,3,92.7,1748-03-01
447,1748,4,62.4,1748-04-01
448,1748,5,99.0,1748-05-01
449,1748,6,36.6,1748-06-01
450,1748,7,99.0,1748-07-01
451,1748,8,81.1,1748-08-01
452,1748,9,71.3,1748-09-01
453,1748,10,113.2,1748-10-01
454,1748,11,54.4,1748-11-01
455,1748,12,55.3,1748-12-01
456,1749,1,149.6,1749-01-01
457,1749,2,51.7,1749-02-01
458,1749,3,69.8,1749-03-01
459,1749,4,94.3,1749-04-01
460,1749,5,49.9,1749-05-01
461,1749,6,36.3,1749-06-01
462,1749,7,82.5,1749-07-01
463,1749,8,100.7,1749-08-01
464,1749,9,91.6,1749-09-01
465,1749,10,70.7,1749-10-01
466,1749,11,54.4,1749-11-01
467,1749,12,55.3,1749-12-01
468,1750,1,73.9,1750-01-01
469,1750,2,96.2,1750-02-01
470,1750,3,69.9,1750-03-01
471,1750,4,44.6,1750-04-01
472,1750,5,22.3,1750-05-01
473,1750,6,96.2,1750-06-01
474,1750,7,99.3,1750-07-01
475,1750,8,140.8,1750-08-01
476,1750,9,71.9,1750-09-01
477,1750,10,113.4,1750-10-01
478,1750,11,107.4,1750-11-01
479,1750,12,77.0,1750-12-01
480,1751,1,110.0,1751-01-01
481,1751,2,72.6,1751-02-01
482,1751,3,102.0,1751-03-01
483,1751,4,62.4,1751-04-01
484,1751,5,69.2,1751-05-01
485,1751,6,20.4,1751-06-01
486,1751,7,156.5,1751-07-01
487,1751,8,116.8,1751-08-01
488,1751,9,145.1,1751-09-01
489,1751,10,94.1,1751-10-01
490,1751,11,107.7,1751-11-01
491,1751,12,77.1,1751-12-01
492,1752,1,123.0,1752-01-01
493,1752,2,51.8,1752-02-01
494,1752,3,48.5,1752-03-01
495,1752,4,27.0,1752-04-01
496,1752,5,117.6,1752-05-01
497,1752,6,96.0,1752-06-01
498,1752,7,156.4,1752-07-01
499,1752,8,141.3,1752-08-01
500,1752,9,111.1,1752-09-01
501,1752,10,70.1,1752-10-01
502,1752,11,80.9,1752-11-01
503,1752,12,55.0,1752-12-01
504,1753,1,109.9,1753-01-01
505,1753,2,126.4,1753-02-01
506,1753,3,102.2,1753-03-01
507,1753,4,62.7,1753-04-01
508,1753,5,98.9,1753-05-01
509,1753,6,83.5,1753-06-01
510,1753,7,98.9,1753-07-01
511,1753,8,116.5,1753-08-01
512,1753,9,55.0,1753-09-01
513,1753,10,70.4,1753-10-01
514,1753,11,55.0,1753-11-01
515,1753,12,119.8,1753-12-01
516,1754,1,149.2,1754-01-01
517,1754,2,73.0,1754-02-01
518,1754,3,69.9,1754-03-01
519,1754,4,61.5,1754-04-01
520,1754,5,69.9,1754-05-01
521,1754,6,160.6,1754-06-01
522,1754,7,99.1,1754-07-01
523,1754,8,81.4,1754-08-01
524,1754,9,54.2,1754-09-01
525,1754,10,70.9,1754-10-01
526,1754,11,54.2,1754-11-01
527,1754,12,99.1,1754-12-01
528,1755,1,34.8,1755-01-01
529,1755,2,38.4,1755-02-01
530,1755,3,108.0,1755-03-01
531,1755,4,128.4,1755-04-01
532,1755,5,99.6,1755-05-01
533,1755,6,96.0,1755-06-01
534,1755,7,127.2,1755-07-01
535,1755,8,100.8,1755-08-01
536,1755,9,145.2,1755-09-01
537,1755,10,70.8,1755-10-01
538,1755,11,130.8,1755-11-01
539,1755,12,120.0,1755-12-01
540,1756,1,149.0,1756-01-01
541,1756,2,72.6,1756-02-01
542,1756,3,68.7,1756-03-01
543,1756,4,152.9,1756-04-01
544,1756,5,117.9,1756-05-01
545,1756,6,140.0,1756-06-01
546,1756,7,99.8,1756-07-01
547,1756,8,141.3,1756-08-01
548,1756,9,92.0,1756-09-01
549,1756,10,151.6,1756-10-01
550,1756,11,54.4,1756-11-01
551,1756,12,55.7,1756-12-01
552,1757,1,73.4,1757-01-01
553,1757,2,39.3,1757-02-01
554,1757,3,98.2,1757-03-01
555,1757,4,113.7,1757-04-01
556,1757,5,77.5,1757-05-01
557,1757,6,46.5,1757-06-01
558,1757,7,107.5,1757-07-01
559,1757,8,173.6,1757-08-01
560,1757,9,39.3,1757-09-01
561,1757,10,74.4,1757-10-01
562,1757,11,114.7,1757-11-01
563,1757,12,75.4,1757-12-01
564,1758,1,69.4,1758-01-01
565,1758,2,103.5,1758-02-01
566,1758,3,81.5,1758-03-01
567,1758,4,59.5,1758-04-01
568,1758,5,52.9,1758-05-01
569,1758,6,54.0,1758-06-01
570,1758,7,186.1,1758-07-01
571,1758,8,110.1,1758-08-01
572,1758,9,69.4,1758-09-01
573,1758,10,85.9,1758-10-01
574,1758,11,99.1,1758-11-01
575,1758,12,130.0,1758-12-01
576,1759,1,75.9,1759-01-01
577,1759,2,28.6,1759-02-01
578,1759,3,110.7,1759-03-01
579,1759,4,65.2,1759-04-01
580,1759,5,52.7,1759-05-01
581,1759,6,102.7,1759-06-01
582,1759,7,45.5,1759-07-01
583,1759,8,80.4,1759-08-01
584,1759,9,75.0,1759-09-01
585,1759,10,124.1,1759-10-01
586,1759,11,71.4,1759-11-01
587,1759,12,60.7,1759-12-01
588,1760,1,101.4,1760-01-01
589,1760,2,97.9,1760-02-01
590,1760,3,25.3,1760-03-01
591,1760,4,33.4,1760-04-01
592,1760,5,56.5,1760-05-01
593,1760,6,109.5,1760-06-01
594,1760,7,41.5,1760-07-01
595,1760,8,112.9,1760-08-01
596,1760,9,121.0,1760-09-01
597,1760,10,169.4,1760-10-01
598,1760,11,148.6,1760-11-01
599,1760,12,134.8,1760-12-01
600,1761,1,26.0,1761-01-01
601,1761,2,83.9,1761-02-01
602,1761,3,72.9,1761-03-01
603,1761,4,66.9,1761-04-01
604,1761,5,69.9,1761-05-01
605,1761,6,81.9,1761-06-01
606,1761,7,49.9,1761-07-01
607,1761,8,88.9,1761-08-01
608,1761,9,80.9,1761-09-01
609,1761,10,163.8,1761-10-01
610,1761,11,124.8,1761-11-01
611,1761,12,88.9,1761-12-01
612,1762,1,82.1,1762-01-01
613,1762,2,46.8,1762-02-01
614,1762,3,87.4,1762-03-01
615,1762,4,52.1,1762-04-01
616,1762,5,30.0,1762-05-01
617,1762,6,26.5,1762-06-01
618,1762,7,54.8,1762-07-01
619,1762,8,103.3,1762-08-01
620,1762,9,89.2,1762-09-01
621,1762,10,200.5,1762-10-01
622,1762,11,75.9,1762-11-01
623,1762,12,34.4,1762-12-01
624,1763,1,49.1,1763-01-01
625,1763,2,99.4,1763-02-01
626,1763,3,47.8,1763-03-01
627,1763,4,96.9,1763-04-01
628,1763,5,56.4,1763-05-01
629,1763,6,110.4,1763-06-01
630,1763,7,168.1,1763-07-01
631,1763,8,128.8,1763-08-01
632,1763,9,89.6,1763-09-01
633,1763,10,110.4,1763-10-01
634,1763,11,68.7,1763-11-01
635,1763,12,201.2,1763-12-01
636,1764,1,188.4,1764-01-01
637,1764,2,106.9,1764-02-01
638,1764,3,51.7,1764-03-01
639,1764,4,49.4,1764-04-01
640,1764,5,56.3,1764-05-01
641,1764,6,77.0,1764-06-01
642,1764,7,137.9,1764-07-01
643,1764,8,104.6,1764-08-01
644,1764,9,88.5,1764-09-01
645,1764,10,103.4,1764-10-01
646,1764,11,105.7,1764-11-01
647,1764,12,79.3,1764-12-01
648,1765,1,125.3,1765-01-01
649,1765,2,58.8,1765-02-01
650,1765,3,107.0,1765-03-01
651,1765,4,118.6,1765-04-01
652,1765,5,23.1,1765-05-01
653,1765,6,44.4,1765-06-01
654,1765,7,27.0,1765-07-01
655,1765,8,97.4,1765-08-01
656,1765,9,75.2,1765-09-01
657,1765,10,168.7,1765-10-01
658,1765,11,64.6,1765-11-01
659,1765,12,54.0,1765-12-01
660,1766,1,7.2,1766-01-01
661,1766,2,75.0,1766-02-01
662,1766,3,25.3,1766-03-01
663,1766,4,79.5,1766-04-01
664,1766,5,132.8,1766-05-01
665,1766,6,127.4,1766-06-01
666,1766,7,85.8,1766-07-01
667,1766,8,56.0,1766-08-01
668,1766,9,90.4,1766-09-01
669,1766,10,101.2,1766-10-01
670,1766,11,62.3,1766-11-01
671,1766,12,60.5,1766-12-01
672,1767,1,29.8,1767-01-01
673,1767,2,116.0,1767-02-01
674,1767,3,96.9,1767-03-01
675,1767,4,22.4,1767-04-01
676,1767,5,140.5,1767-05-01
677,1767,6,17.0,1767-06-01
678,1767,7,191.6,1767-07-01
679,1767,8,102.2,1767-08-01
680,1767,9,91.6,1767-09-01
681,1767,10,63.9,1767-10-01
682,1767,11,136.3,1767-11-01
683,1767,12,56.4,1767-12-01
684,1768,1,67.6,1768-01-01
685,1768,2,192.8,1768-02-01
686,1768,3,39.4,1768-03-01
687,1768,4,83.0,1768-04-01
688,1768,5,53.5,1768-05-01
689,1768,6,187.2,1768-06-01
690,1768,7,161.8,1768-07-01
691,1768,8,81.6,1768-08-01
692,1768,9,159.0,1768-09-01
693,1768,10,105.5,1768-10-01
694,1768,11,164.7,1768-11-01
695,1768,12,111.2,1768-12-01
696,1769,1,55.6,1769-01-01
697,1769,2,71.8,1769-02-01
698,1769,3,36.4,1769-03-01
699,1769,4,46.5,1769-04-01
700,1769,5,53.6,1769-05-01
701,1769,6,145.7,1769-06-01
702,1769,7,76.9,1769-07-01
703,1769,8,137.6,1769-08-01
704,1769,9,181.1,1769-09-01
705,1769,10,53.6,1769-10-01
706,1769,11,72.8,1769-11-01
707,1769,12,79.9,1769-12-01
708,1770,1,43.2,1770-01-01
709,1770,2,50.2,1770-02-01
710,1770,3,74.8,1770-03-01
711,1770,4,70.1,1770-04-01
712,1770,5,61.9,1770-05-01
713,1770,6,149.6,1770-06-01
714,1770,7,81.8,1770-07-01
715,1770,8,65.4,1770-08-01
716,1770,9,113.3,1770-09-01
717,1770,10,93.5,1770-10-01
718,1770,11,224.3,1770-11-01
719,1770,12,140.2,1770-12-01
720,1771,1,65.6,1771-01-01
721,1771,2,32.3,1771-02-01
722,1771,3,35.0,1771-03-01
723,1771,4,39.5,1771-04-01
724,1771,5,53.0,1771-05-01
725,1771,6,53.0,1771-06-01
726,1771,7,83.5,1771-07-01
727,1771,8,122.2,1771-08-01
728,1771,9,62.0,1771-09-01
729,1771,10,185.0,1771-10-01
730,1771,11,74.6,1771-11-01
731,1771,12,92.5,1771-12-01
732,1772,1,82.4,1772-01-01
733,1772,2,85.9,1772-02-01
734,1772,3,80.1,1772-03-01
735,1772,4,44.1,1772-04-01
736,1772,5,73.1,1772-05-01
737,1772,6,116.1,1772-06-01
738,1772,7,74.3,1772-07-01
739,1772,8,104.5,1772-08-01
740,1772,9,171.8,1772-09-01
741,1772,10,114.9,1772-10-01
742,1772,11,159.0,1772-11-01
743,1772,12,54.6,1772-12-01
744,1773,1,96.7,1773-01-01
745,1773,2,63.2,1773-02-01
746,1773,3,27.4,1773-03-01
747,1773,4,69.2,1773-04-01
748,1773,5,149.2,1773-05-01
749,1773,6,50.1,1773-06-01
750,1773,7,46.5,1773-07-01
751,1773,8,83.5,1773-08-01
752,1773,9,196.9,1773-09-01
753,1773,10,149.2,1773-10-01
754,1773,11,142.0,1773-11-01
755,1773,12,119.3,1773-12-01
756,1774,1,110.3,1774-01-01
757,1774,2,85.7,1774-02-01
758,1774,3,43.3,1774-03-01
759,1774,4,65.0,1774-04-01
760,1774,5,74.8,1774-05-01
761,1774,6,90.6,1774-06-01
762,1774,7,104.4,1774-07-01
763,1774,8,88.6,1774-08-01
764,1774,9,151.6,1774-09-01
765,1774,10,40.4,1774-10-01
766,1774,11,61.0,1774-11-01
767,1774,12,68.9,1774-12-01
768,1775,1,94.9,1775-01-01
769,1775,2,123.6,1775-02-01
770,1775,3,74.9,1775-03-01
771,1775,4,35.0,1775-04-01
772,1775,5,33.7,1775-05-01
